^N225
Date,Open,High,Low,Close
2025-10-09,48035.421875,48597.078125,47995.21875,48580.44140625
2025-10-10,48510.71875,48510.71875,47962.609375,48088.80078125
2025-10-14,47446.73046875,47865.6484375,46544.05078125,46847.3203125
2025-10-15,47002.30078125,47774.828125,46910.828125,47672.671875
2025-10-16,48107.44140625,48317.33984375,47937.71875,48277.73828125
2025-10-17,47820.96875,48140.8984375,47494.30859375,47582.1484375
2025-10-20,48332.7109375,49185.5,48254.828125,49185.5
2025-10-21,49675.4296875,49945.94921875,49127.19921875,49316.05859375
2025-10-22,49252.03125,49458.28125,48613.69921875,49307.7890625
2025-10-23,48866.578125,48866.578125,48399.05078125,48641.609375
2025-10-24,49095.26953125,49435.30859375,48965.78125,49299.6484375
2025-10-27,49905.80078125,50549.6015625,49838.98046875,50512.3203125
2025-10-28,50357.1484375,50485.80078125,50107.76953125,50219.1796875
2025-10-29,50453.640625,51412.96875,50365.62109375,51307.6484375
2025-10-30,51146.26953125,51657.28125,50972.55859375,51325.609375
2025-10-31,51629.80078125,52411.33984375,51613.03125,52411.33984375
2025-11-04,52294.30859375,52636.87109375,51497.19921875,51497.19921875
2025-11-05,51291.390625,51422.421875,49073.578125,50212.26953125
2025-11-06,50792.55078125,51248.28125,50594.19140625,50883.6796875
2025-11-07,50524.30859375,50642.7890625,49640.55859375,50276.37109375
2025-11-10,50645.26953125,50969.5,50392.44140625,50911.76171875
2025-11-11,51314.0390625,51513.16015625,50581.171875,50842.9296875
2025-11-12,50988.53125,51072.26171875,50537.5,51063.30859375
2025-11-13,51013.1484375,51338.890625,50954.26953125,51281.828125
2025-11-14,50767.73828125,50767.73828125,50246.6015625,50376.53125
2025-11-17,50282.390625,50398.16015625,49845.859375,50323.91015625
2025-11-18,49812.94921875,49971.55078125,48661.51953125,48702.98046875
2025-11-19,48822.87890625,49087.109375,48235.30078125,48537.69921875
2025-11-20,49129.2890625,50574.8203125,49113.390625,49823.94140625
2025-11-21,49251.26171875,49459.58984375,48490.03125,48625.87890625
2025-11-25,49113.8203125,49182.3203125,48511.94921875,48659.51953125
2025-11-26,49012.25,49749.58984375,48964.19140625,49559.0703125
2025-11-27,49868.7890625,50322.140625,49865.171875,50167.1015625
2025-11-28,50218.9609375,50258.25,49989.5390625,50253.91015625
2025-12-01,50318.58984375,50366.73828125,49215.9609375,49303.28125
2025-12-02,49494.578125,49636.7890625,49243.55078125,49303.44921875
